Hamstring,,Front Hip,,Back Hip,
Time (seconds),Force (N),Time (seconds),Force (N),Time (seconds),Force (N)
0,0,0,0,0,0
0.0072,28.2,0.0072,0,0.0072,0
5.47,28.2,5.47,0,5.47,0
5.59,0,5.59,0,5.59,0
5.6,0,5.6,0,5.6,0
5.72,0,5.72,70.575,5.72,0
9.48,0,9.48,70.575,9.48,0
9.6,0,9.6,0,9.6,0
9.61,0,9.61,0,9.61,0
9.6172,0,9.6172,0,9.6172,35.325
16.17,0,16.17,0,16.17,35.325
16.29,0,16.29,0,16.29,0
16.3,0,16.3,0,16.3,0
16.3072,0,16.3072,0,16.3072,0
19.17,0,19.17,0,19.17,0
19.29,0,19.29,0,19.29,0
19.3,0,19.3,0,19.3,0
23.75,0,23.75,0,23.75,0